missions,tasks_per_mission,total_tasks,manpower,shift,location,campaign_in_weeks
10,32,320,107,3,3,4
13,41,533,178,3,3,4
6,49,294,98,3,3,6
12,22,264,88,3,3,4
12,29,348,116,3,2,5
20,44,880,294,3,3,6
11,14,154,52,3,2,6
7,18,126,42,3,3,8
1,38,38,13,3,3,4
1,15,15,5,3,3,5
20,34,680,227,3,3,4
13,40,520,174,3,3,4
9,31,279,93,3,2,6
3,11,33,11,3,3,4
7,54,378,126,3,3,4
6,14,84,28,3,3,4
8,36,288,96,3,3,4
9,34,306,102,3,2,8
5,17,85,29,3,3,4
1,10,10,4,3,2,4
19,29,551,184,3,3,6
10,53,530,177,3,2,4
12,32,384,128,3,2,4
15,41,615,205,3,2,4
9,20,180,60,3,2,4
20,48,960,320,3,2,4
17,56,952,318,3,3,6
17,33,561,187,3,2,4
20,20,400,134,3,3,7
12,38,456,152,3,2,6
7,35,245,82,3,2,4
2,25,50,17,3,3,4
3,44,132,44,3,2,4
17,29,493,165,3,2,4
5,55,275,92,3,2,7
17,12,204,68,3,2,4
17,10,170,57,3,3,4
17,56,952,318,3,2,4
2,10,20,7,3,2,4
2,26,52,18,3,3,4
5,11,55,19,3,3,4
1,38,38,13,3,2,4
1,29,29,10,3,2,4
19,15,285,95,3,3,4
2,17,34,12,3,2,5
12,38,456,152,3,3,4
6,57,342,114,3,2,4
4,60,240,80,3,3,4
11,42,462,154,3,3,4
17,12,204,68,3,3,7
6,44,264,88,3,2,4
5,14,70,24,3,2,4
20,36,720,240,3,2,6
2,53,106,36,3,2,6
6,21,126,42,3,3,4
11,29,319,107,3,3,4
16,54,864,288,3,3,5
16,29,464,155,3,2,4
1,18,18,6,3,2,6
9,48,432,144,3,2,5
6,13,78,26,3,3,5
16,60,960,320,3,2,4
3,28,84,28,3,2,5
20,47,940,314,3,3,4
4,36,144,48,3,3,6
19,54,1026,342,3,2,4
3,52,156,52,3,3,4
19,22,418,140,3,2,4
20,22,440,147,3,3,4
7,31,217,73,3,3,4
20,37,740,247,3,3,7
9,56,504,168,3,2,4
1,54,54,18,3,2,6
8,31,248,83,3,2,4
7,52,364,122,3,3,4
18,28,504,168,3,3,4
8,17,136,46,3,3,4
1,17,17,6,3,3,7
11,51,561,187,3,2,4
18,35,630,210,3,2,4
10,57,570,190,3,2,4
3,60,180,60,3,3,7
7,35,245,82,3,3,4
16,32,512,171,3,2,4
16,52,832,278,3,3,4
20,22,440,147,3,2,4
17,37,629,210,3,3,4
2,18,36,12,3,3,6
1,29,29,10,3,2,4
16,28,448,150,3,2,4
12,57,684,228,3,3,4
5,48,240,80,3,2,4
5,60,300,100,3,2,4
9,21,189,63,3,3,8
9,24,216,72,3,3,6
3,40,120,40,3,3,6
19,23,437,146,3,2,6
16,20,320,107,3,3,4
16,35,560,187,3,3,4
3,51,153,51,3,3,4
20,36,720,240,3,3,4
1,20,20,7,3,3,4
20,47,940,314,3,2,4
11,43,473,158,3,3,4
17,52,884,295,3,3,6
8,28,224,75,3,2,5
4,15,60,20,3,3,7
6,55,330,110,3,3,4
8,47,376,126,3,2,4
20,58,1160,387,3,3,4
3,51,153,51,3,2,4
16,37,592,198,3,3,4
3,10,30,10,3,2,4
18,44,792,264,3,2,4
14,49,686,229,3,3,4
18,17,306,102,3,2,4
2,56,112,38,3,2,4
3,16,48,16,3,3,4
16,20,320,107,3,3,4
9,48,432,144,3,2,4
4,13,52,18,3,3,4
1,34,34,12,3,2,4
4,21,84,28,3,2,5
1,35,35,12,3,3,5
14,47,658,220,3,3,4
16,55,880,294,3,2,4
20,21,420,140,3,3,4
8,52,416,139,3,3,4
7,60,420,140,3,2,4
3,46,138,46,3,2,4
17,55,935,312,3,2,4
1,33,33,11,3,2,4
16,25,400,134,3,2,5
12,22,264,88,3,2,4
19,34,646,216,3,3,5
14,13,182,61,3,2,4
6,20,120,40,3,3,4
6,41,246,82,3,3,8
13,58,754,252,3,2,8
19,16,304,102,3,3,4
8,55,440,147,3,2,4
2,20,40,14,3,3,4
1,37,37,13,3,2,4
15,50,750,250,3,2,6
1,32,32,11,3,2,8
5,54,270,90,3,2,4
16,32,512,171,3,3,4
19,59,1121,374,3,3,4
4,37,148,50,3,3,4
3,52,156,52,3,3,7
17,56,952,318,3,3,6
17,35,595,199,3,2,4
12,34,408,136,3,2,4
14,38,532,178,3,2,4
6,28,168,56,3,2,4
3,42,126,42,3,2,6
9,45,405,135,3,3,4
5,23,115,39,3,2,4
17,23,391,131,3,2,4
14,44,616,206,3,3,6
3,39,117,39,3,3,4
1,37,37,13,3,2,6
20,26,520,174,3,2,6
1,12,12,4,3,3,7
3,25,75,25,3,2,4
18,55,990,330,3,2,4
10,39,390,130,3,2,4
3,38,114,38,3,3,4
8,54,432,144,3,2,4
14,24,336,112,3,2,4
18,55,990,330,3,3,4
15,34,510,170,3,3,6
2,60,120,40,3,3,4
10,47,470,157,3,2,4
2,51,102,34,3,3,5
17,56,952,318,3,2,5
8,47,376,126,3,3,6
1,32,32,11,3,2,5
9,34,306,102,3,3,7
11,51,561,187,3,2,4
16,16,256,86,3,2,4
7,31,217,73,3,3,4
10,26,260,87,3,3,4
3,27,81,27,3,2,4
18,58,1044,348,3,3,4
13,50,650,217,3,2,4
7,19,133,45,3,3,4
4,19,76,26,3,3,4
13,16,208,70,3,2,7
20,57,1140,380,3,3,4
1,59,59,20,3,3,5
8,47,376,126,3,2,4
14,36,504,168,3,2,7
16,42,672,224,3,3,6
14,10,140,47,3,2,4
12,53,636,212,3,3,4
19,43,817,273,3,3,4
15,13,195,65,3,2,8
2,26,52,18,3,2,6
2,13,26,9,3,2,6
19,52,988,330,3,2,4
17,35,595,199,3,2,4
20,13,260,87,3,2,6
10,10,100,34,3,3,4
6,16,96,32,3,3,4
15,39,585,195,3,2,4
11,59,649,217,3,3,7
5,18,90,30,3,3,4
1,44,44,15,3,3,4
8,17,136,46,3,3,4
12,33,396,132,3,2,5
12,28,336,112,3,3,4
5,45,225,75,3,3,4
7,59,413,138,3,2,4
4,52,208,70,3,2,5
6,36,216,72,3,2,8
13,41,533,178,3,2,6
20,23,460,154,3,3,4
15,27,405,135,3,2,7
3,37,111,37,3,3,4
8,38,304,102,3,3,4
20,25,500,167,3,2,4
16,44,704,235,3,2,4
13,56,728,243,3,2,5
18,40,720,240,3,2,4
10,13,130,44,3,2,4
19,46,874,292,3,2,4
17,26,442,148,3,3,4
19,48,912,304,3,3,4
5,57,285,95,3,3,4
9,55,495,165,3,3,4
12,35,420,140,3,2,4
1,57,57,19,3,2,4
1,48,48,16,3,3,5
15,50,750,250,3,3,4
2,13,26,9,3,3,6
16,39,624,208,3,2,7
8,39,312,104,3,2,6
13,31,403,135,3,2,4
1,20,20,7,3,3,4
16,11,176,59,3,3,8
7,53,371,124,3,2,4
5,21,105,35,3,2,4
3,39,117,39,3,3,4
12,45,540,180,3,3,4
16,27,432,144,3,2,8
19,35,665,222,3,3,4
5,16,80,27,3,2,4
14,10,140,47,3,2,4
5,35,175,59,3,3,4
15,32,480,160,3,3,4
17,35,595,199,3,3,4
14,54,756,252,3,2,5
20,15,300,100,3,3,4
5,15,75,25,3,3,5
12,53,636,212,3,2,4
16,17,272,91,3,2,4
16,33,528,176,3,3,4
7,31,217,73,3,2,4
4,28,112,38,3,2,6
1,46,46,16,3,2,6
5,27,135,45,3,3,4
10,40,400,134,3,3,4
5,46,230,77,3,2,5
4,39,156,52,3,2,4
2,51,102,34,3,2,4
20,42,840,280,3,3,8
10,19,190,64,3,2,4
19,46,874,292,3,2,8
1,21,21,7,3,3,4
5,39,195,65,3,2,5
13,36,468,156,3,3,4
4,48,192,64,3,3,4
16,18,288,96,3,3,4
16,30,480,160,3,2,4
2,21,42,14,3,2,4
17,38,646,216,3,3,4
20,42,840,280,3,2,4
12,52,624,208,3,3,5
18,24,432,144,3,2,4
3,11,33,11,3,3,4
1,48,48,16,3,3,4
1,53,53,18,3,2,4
19,27,513,171,3,2,4
11,12,132,44,3,2,4
5,16,80,27,3,2,5
12,52,624,208,3,3,4
3,27,81,27,3,3,4
1,53,53,18,3,2,6
1,47,47,16,3,2,5
8,46,368,123,3,3,4
10,42,420,140,3,2,6
11,53,583,195,3,2,4
12,40,480,160,3,2,6
13,20,260,87,3,2,4
12,13,156,52,3,3,4
14,27,378,126,3,3,8
2,13,26,9,3,2,4
19,58,1102,368,3,3,4
18,43,774,258,3,2,4
3,38,114,38,3,2,4
17,33,561,187,3,2,4
8,31,248,83,3,3,4
10,11,110,37,3,3,4
2,53,106,36,3,3,4
19,15,285,95,3,3,4
9,51,459,153,3,3,4
7,34,238,80,3,2,4
4,30,120,40,3,2,7
18,25,450,150,3,3,4
13,40,520,174,3,3,4
11,23,253,85,3,3,5
4,48,192,64,3,2,5
4,37,148,50,3,3,4
10,41,410,137,3,2,6
5,37,185,62,3,2,4
9,60,540,180,3,3,6
3,58,174,58,3,2,4
17,18,306,102,3,2,4
3,54,162,54,3,3,4
16,31,496,166,3,2,5
4,41,164,55,3,3,4
18,14,252,84,3,2,4
17,32,544,182,3,3,4
7,14,98,33,3,3,7
5,51,255,85,3,2,6
12,41,492,164,3,3,4
17,19,323,108,3,2,4
13,48,624,208,3,2,4
3,24,72,24,3,3,4
9,16,144,48,3,2,7
17,38,646,216,3,3,4
17,56,952,318,3,2,4
20,12,240,80,3,2,4
16,28,448,150,3,3,4
13,19,247,83,3,2,4
19,37,703,235,3,2,4
17,38,646,216,3,2,4
4,24,96,32,3,2,4
12,44,528,176,3,2,4
9,15,135,45,3,2,4
19,21,399,133,3,2,4
12,56,672,224,3,2,5
9,47,423,141,3,3,4
7,22,154,52,3,2,4
14,38,532,178,3,2,5
20,28,560,187,3,3,4
19,12,228,76,3,3,4
15,17,255,85,3,3,4
16,17,272,91,3,2,4
5,29,145,49,3,3,4
3,56,168,56,3,3,4
12,13,156,52,3,2,6
20,60,1200,400,3,2,6
4,30,120,40,3,3,4
16,12,192,64,3,3,4
7,54,378,126,3,2,4
13,17,221,74,3,2,4
10,32,320,107,3,2,4
7,25,175,59,3,2,6
14,22,308,103,3,2,4
5,12,60,20,3,3,7
3,57,171,57,3,2,5
11,18,198,66,3,2,5
11,23,253,85,3,2,4
18,22,396,132,3,2,4
15,16,240,80,3,2,4
12,24,288,96,3,3,4
9,16,144,48,3,2,4
10,47,470,157,3,3,4
12,43,516,172,3,2,4
17,50,850,284,3,3,4
6,31,186,62,3,3,5
7,33,231,77,3,2,4
14,58,812,271,3,2,4
13,46,598,200,3,2,4
8,53,424,142,3,2,8
10,10,100,34,3,2,4
9,19,171,57,3,3,4
18,52,936,312,3,2,4
2,25,50,17,3,2,7
5,55,275,92,3,3,5
5,17,85,29,3,2,4
6,58,348,116,3,3,4
19,34,646,216,3,2,4
8,59,472,158,3,3,4
16,21,336,112,3,2,4
13,34,442,148,3,3,5
1,26,26,9,3,3,8
20,35,700,234,3,2,4
17,55,935,312,3,2,4
7,57,399,133,3,2,4
13,23,299,100,3,3,5
4,50,200,67,3,3,5
4,45,180,60,3,3,4
6,32,192,64,3,2,4
19,52,988,330,3,2,4
12,15,180,60,3,3,4
7,56,392,131,3,2,6
10,14,140,47,3,3,4
19,52,988,330,3,2,5
7,34,238,80,3,2,4
3,27,81,27,3,3,5
13,22,286,96,3,2,4
13,52,676,226,3,2,6
18,23,414,138,3,2,4
20,37,740,247,3,2,4
8,27,216,72,3,2,4
9,37,333,111,3,3,4
7,60,420,140,3,2,4
1,36,36,12,3,3,4
3,41,123,41,3,2,8
13,56,728,243,3,2,4
17,18,306,102,3,3,5
1,49,49,17,3,3,8
6,41,246,82,3,2,4
6,29,174,58,3,2,4
12,37,444,148,3,3,4
13,42,546,182,3,3,4
13,13,169,57,3,3,4
15,55,825,275,3,3,7
16,43,688,230,3,2,4
11,57,627,209,3,2,4
5,12,60,20,3,2,4
4,35,140,47,3,2,6
3,17,51,17,3,2,4
19,15,285,95,3,3,4
20,25,500,167,3,3,4
18,33,594,198,3,3,4
15,57,855,285,3,2,7
9,48,432,144,3,3,6
17,39,663,221,3,2,4
14,54,756,252,3,2,4
15,22,330,110,3,2,4
1,14,14,5,3,3,4
3,34,102,34,3,2,4
16,29,464,155,3,2,4
11,27,297,99,3,3,4
12,56,672,224,3,2,8
10,27,270,90,3,3,4
16,11,176,59,3,2,7
8,19,152,51,3,3,4
6,54,324,108,3,2,4
12,59,708,236,3,2,6
8,56,448,150,3,3,4
4,21,84,28,3,2,4
8,56,448,150,3,3,4
18,22,396,132,3,2,4
5,59,295,99,3,3,7
9,56,504,168,3,2,6
4,20,80,27,3,2,4
17,28,476,159,3,2,4
9,44,396,132,3,3,4
1,48,48,16,3,3,4
20,35,700,234,3,3,4
13,55,715,239,3,3,4
16,23,368,123,3,3,4
13,54,702,234,3,2,4
14,53,742,248,3,2,4
3,33,99,33,3,2,4
6,50,300,100,3,2,4
18,10,180,60,3,2,8
19,60,1140,380,3,3,6
5,52,260,87,3,2,4
15,31,465,155,3,3,4
2,32,64,22,3,2,6
10,28,280,94,3,3,7
18,27,486,162,3,3,6
13,21,273,91,3,3,4
5,37,185,62,3,2,8
1,37,37,13,3,2,4
1,42,42,14,3,2,5
18,28,504,168,3,2,7
15,37,555,185,3,3,4
17,58,986,329,3,3,7
11,46,506,169,3,3,4
17,35,595,199,3,3,8
13,44,572,191,3,2,4
1,43,43,15,3,3,8
2,44,88,30,3,2,4
9,49,441,147,3,3,5
3,25,75,25,3,3,4
1,47,47,16,3,3,4
16,22,352,118,3,2,4
6,32,192,64,3,2,5
17,31,527,176,3,3,4
5,25,125,42,3,3,4
5,37,185,62,3,3,4
6,57,342,114,3,2,8
3,44,132,44,3,2,4
5,54,270,90,3,2,4
5,55,275,92,3,3,4
10,17,170,57,3,2,4
10,53,530,177,3,3,4
19,31,589,197,3,2,4
17,30,510,170,3,3,6
14,35,490,164,3,3,5
9,49,441,147,3,2,4
14,30,420,140,3,3,4
1,34,34,12,3,3,4
19,50,950,317,3,3,4
13,10,130,44,3,2,5
13,15,195,65,3,3,4
4,32,128,43,3,2,4
1,60,60,20,3,2,4
17,32,544,182,3,3,6
8,52,416,139,3,2,4
2,52,104,35,3,3,4
8,32,256,86,3,2,4
7,41,287,96,3,3,5
2,39,78,26,3,2,7
3,22,66,22,3,3,4
18,52,936,312,3,3,4
12,27,324,108,3,3,7
1,32,32,11,3,3,4
12,24,288,96,3,2,4
5,42,210,70,3,2,4
17,30,510,170,3,3,4
16,48,768,256,3,2,4
15,32,480,160,3,3,6
15,36,540,180,3,3,4
5,54,270,90,3,2,4
14,53,742,248,3,2,5
2,27,54,18,3,3,4
11,33,363,121,3,2,4
19,60,1140,380,3,3,4
7,56,392,131,3,2,6
6,49,294,98,3,2,6
2,60,120,40,3,2,8
6,51,306,102,3,2,6
18,16,288,96,3,2,4
2,59,118,40,3,3,4
18,57,1026,342,3,2,6
15,29,435,145,3,2,4
19,36,684,228,3,3,4
2,15,30,10,3,3,4
20,36,720,240,3,3,4
6,18,108,36,3,2,7
1,54,54,18,3,2,4
15,40,600,200,3,3,4
10,30,300,100,3,3,8
19,35,665,222,3,3,4
17,49,833,278,3,3,4
5,57,285,95,3,2,4
4,54,216,72,3,2,6
10,22,220,74,3,2,5
17,58,986,329,3,2,5
10,32,320,107,3,2,5
17,29,493,165,3,3,4
20,46,920,307,3,2,6
5,37,185,62,3,3,6
2,26,52,18,3,3,4
6,37,222,74,3,3,4
2,50,100,34,3,2,8
13,11,143,48,3,3,6
11,34,374,125,3,2,6
11,59,649,217,3,3,6
16,50,800,267,3,2,4
11,15,165,55,3,3,4
19,20,380,127,3,2,4
15,47,705,235,3,3,4
16,15,240,80,3,3,5
11,54,594,198,3,3,4
16,20,320,107,3,3,4
8,23,184,62,3,2,4
4,11,44,15,3,2,4
8,49,392,131,3,2,4
4,12,48,16,3,3,4
3,44,132,44,3,3,4
3,42,126,42,3,3,4
18,33,594,198,3,3,8
19,28,532,178,3,3,4
19,27,513,171,3,3,4
5,58,290,97,3,2,4
18,33,594,198,3,2,4
10,54,540,180,3,2,4
6,44,264,88,3,2,5
1,10,10,4,3,2,5
5,45,225,75,3,2,4
9,34,306,102,3,2,4
12,54,648,216,3,2,7
14,58,812,271,3,3,6
2,52,104,35,3,3,4
17,43,731,244,3,3,4
14,34,476,159,3,3,4
13,25,325,109,3,3,4
9,43,387,129,3,3,4
15,38,570,190,3,3,4
15,28,420,140,3,2,4
11,32,352,118,3,2,4
16,28,448,150,3,3,5
17,34,578,193,3,2,6
4,25,100,34,3,2,4
1,60,60,20,3,2,6
8,18,144,48,3,2,4
17,10,170,57,3,2,6
3,51,153,51,3,3,4
20,28,560,187,3,2,4
15,42,630,210,3,3,4
15,43,645,215,3,3,4
14,25,350,117,3,3,7
14,53,742,248,3,2,4
2,49,98,33,3,3,4
13,27,351,117,3,3,4
14,43,602,201,3,3,4
19,34,646,216,3,3,4
7,54,378,126,3,2,4
3,15,45,15,3,3,5
15,30,450,150,3,3,6
14,15,210,70,3,3,8
11,41,451,151,3,3,4
15,50,750,250,3,2,5
13,57,741,247,3,3,4
18,52,936,312,3,3,4
6,48,288,96,3,3,4
3,40,120,40,3,3,8
19,51,969,323,3,3,5
15,19,285,95,3,3,8
5,39,195,65,3,2,6
10,27,270,90,3,3,7
7,33,231,77,3,2,6
17,18,306,102,3,2,4
7,40,280,94,3,3,4
12,24,288,96,3,2,4
17,13,221,74,3,3,4
13,49,637,213,3,2,4
20,18,360,120,3,3,4
4,54,216,72,3,2,4
10,18,180,60,3,2,8
3,35,105,35,3,3,7
9,13,117,39,3,2,4
13,26,338,113,3,2,4
18,25,450,150,3,2,4
15,24,360,120,3,2,4
4,44,176,59,3,2,5
15,14,210,70,3,3,4
2,14,28,10,3,2,4
15,29,435,145,3,2,6
8,24,192,64,3,3,6
8,27,216,72,3,3,4
17,56,952,318,3,3,5
12,11,132,44,3,2,4
19,38,722,241,3,2,4
10,22,220,74,3,2,4
9,13,117,39,3,2,4
5,51,255,85,3,3,4
6,54,324,108,3,3,4
20,19,380,127,3,2,4
2,40,80,27,3,2,5
13,50,650,217,3,2,4
6,17,102,34,3,2,4
5,12,60,20,3,3,6
1,57,57,19,3,3,4
6,55,330,110,3,2,7
6,18,108,36,3,3,4
16,39,624,208,3,2,4
4,20,80,27,3,2,4
11,44,484,162,3,3,4
9,46,414,138,3,2,4
3,51,153,51,3,3,4
19,22,418,140,3,2,4
8,45,360,120,3,3,4
5,22,110,37,3,2,4
4,21,84,28,3,3,4
6,46,276,92,3,2,4
2,19,38,13,3,2,4
20,18,360,120,3,3,4
11,16,176,59,3,2,4
4,11,44,15,3,3,5
15,32,480,160,3,3,4
6,48,288,96,3,2,5
17,49,833,278,3,2,4
6,48,288,96,3,2,4
19,30,570,190,3,2,4
2,32,64,22,3,3,5
15,38,570,190,3,2,4
11,23,253,85,3,2,4
8,35,280,94,3,2,4
19,60,1140,380,3,3,4
13,14,182,61,3,2,4
12,40,480,160,3,3,4
5,34,170,57,3,2,4
6,40,240,80,3,3,4
4,59,236,79,3,2,4
19,29,551,184,3,2,5
20,53,1060,354,3,3,5
1,26,26,9,3,2,4
20,54,1080,360,3,2,4
17,11,187,63,3,2,6
12,34,408,136,3,3,4
15,22,330,110,3,2,4
1,48,48,16,3,3,5
14,37,518,173,3,3,4
6,51,306,102,3,3,4
5,15,75,25,3,2,6
11,12,132,44,3,3,4
4,44,176,59,3,3,5
13,27,351,117,3,2,5
11,20,220,74,3,3,8
3,29,87,29,3,3,4
1,14,14,5,3,2,4
6,28,168,56,3,2,4
18,31,558,186,3,3,4
10,28,280,94,3,2,4
5,56,280,94,3,2,4
10,25,250,84,3,2,4
12,33,396,132,3,3,4
2,50,100,34,3,3,4
13,13,169,57,3,2,5
8,24,192,64,3,3,5
2,34,68,23,3,2,7
20,53,1060,354,3,2,4
1,44,44,15,3,2,8
5,23,115,39,3,2,6
9,58,522,174,3,2,4
17,28,476,159,3,3,4
9,47,423,141,3,3,4
11,45,495,165,3,3,4
15,16,240,80,3,3,4
6,39,234,78,3,2,4
3,28,84,28,3,2,5
17,58,986,329,3,3,4
5,34,170,57,3,3,4
12,25,300,100,3,2,6
18,56,1008,336,3,2,4
14,49,686,229,3,2,8
11,60,660,220,3,3,4
9,17,153,51,3,2,8
2,27,54,18,3,2,4
12,37,444,148,3,3,4
3,25,75,25,3,3,4
3,28,84,28,3,3,5
1,51,51,17,3,2,6
8,26,208,70,3,2,4
8,54,432,144,3,3,7
11,22,242,81,3,2,4
9,16,144,48,3,2,4
5,36,180,60,3,2,6
14,19,266,89,3,3,4
3,43,129,43,3,3,4
5,45,225,75,3,2,7
5,34,170,57,3,2,7
19,15,285,95,3,2,8
14,33,462,154,3,2,7
4,27,108,36,3,3,4
13,32,416,139,3,3,6
10,15,150,50,3,2,4
18,38,684,228,3,2,8
8,34,272,91,3,3,4
8,26,208,70,3,2,4
7,55,385,129,3,3,4
8,33,264,88,3,2,4
14,20,280,94,3,3,4
19,35,665,222,3,2,6
6,60,360,120,3,2,6
1,43,43,15,3,3,4
15,37,555,185,3,3,5
1,12,12,4,3,2,4
17,20,340,114,3,2,4
1,47,47,16,3,3,4
15,23,345,115,3,3,6
2,60,120,40,3,2,5
14,35,490,164,3,2,4
8,57,456,152,3,3,4
8,30,240,80,3,3,4
19,48,912,304,3,3,4
7,39,273,91,3,3,4
19,17,323,108,3,3,4
6,60,360,120,3,2,4
6,29,174,58,3,2,7
3,57,171,57,3,3,4
7,41,287,96,3,2,4
19,31,589,197,3,2,4
8,16,128,43,3,3,6
10,18,180,60,3,2,5
20,54,1080,360,3,2,6
15,10,150,50,3,2,4
15,38,570,190,3,3,5
1,17,17,6,3,3,4
20,13,260,87,3,2,4
7,44,308,103,3,2,4
4,12,48,16,3,2,4
6,54,324,108,3,2,7
1,49,49,17,3,2,6
5,16,80,27,3,2,4
1,36,36,12,3,3,4
4,10,40,14,3,2,4
2,36,72,24,3,2,4
10,25,250,84,3,3,4
5,47,235,79,3,2,7
10,16,160,54,3,2,8
1,53,53,18,3,2,4
6,32,192,64,3,2,6
13,50,650,217,3,3,4
15,20,300,100,3,2,4
4,51,204,68,3,3,4
13,42,546,182,3,2,4
20,59,1180,394,3,2,5
15,45,675,225,3,3,4
8,46,368,123,3,2,4
5,50,250,84,3,3,4
15,26,390,130,3,3,8
4,44,176,59,3,3,4
12,57,684,228,3,2,5
13,14,182,61,3,2,5
2,57,114,38,3,2,4
19,41,779,260,3,2,4
19,12,228,76,3,3,6
4,56,224,75,3,2,4
4,44,176,59,3,2,7
11,23,253,85,3,3,4
5,57,285,95,3,3,4
20,40,800,267,3,2,6
11,40,440,147,3,3,6
10,26,260,87,3,3,8
8,33,264,88,3,3,4
6,32,192,64,3,3,7
6,27,162,54,3,3,6
8,59,472,158,3,2,6
15,23,345,115,3,2,4
14,59,826,276,3,2,4
11,24,264,88,3,2,7
12,24,288,96,3,2,4
13,15,195,65,3,2,4
8,36,288,96,3,2,4
18,24,432,144,3,3,4
1,59,59,20,3,2,4
15,45,675,225,3,2,4
8,17,136,46,3,2,6
11,24,264,88,3,3,4
12,12,144,48,3,2,4
12,56,672,224,3,2,4
4,22,88,30,3,3,4
16,50,800,267,3,2,4
4,43,172,58,3,2,5
5,33,165,55,3,3,4
5,49,245,82,3,2,7
8,41,328,110,3,3,4
10,41,410,137,3,2,4
17,39,663,221,3,2,4
9,58,522,174,3,2,4
19,22,418,140,3,3,5
14,10,140,47,3,3,6
8,43,344,115,3,3,4
9,24,216,72,3,2,4
11,53,583,195,3,2,4
1,23,23,8,3,3,4
14,38,532,178,3,3,8
5,43,215,72,3,2,4
14,27,378,126,3,2,5
4,16,64,22,3,2,4
1,38,38,13,3,2,4
19,40,760,254,3,3,4
8,34,272,91,3,2,4
15,47,705,235,3,2,5
15,23,345,115,3,2,4
9,17,153,51,3,2,5
9,36,324,108,3,2,4
10,11,110,37,3,2,8
